megalitres,month,year
93.2,1,1956
96,2,1956
95.2,3,1956
77.1,4,1956
70.9,5,1956
64.8,6,1956
70.1,7,1956
77.3,8,1956
79.5,9,1956
100.6,10,1956
100.7,11,1956
107.1,12,1956
95.9,1,1957
82.8,2,1957
83.3,3,1957
80,4,1957
80.4,5,1957
67.5,6,1957
75.7,7,1957
71.1,8,1957
89.3,9,1957
101.1,10,1957
105.2,11,1957
114.1,12,1957
96.3,1,1958
84.4,2,1958
91.2,3,1958
81.9,4,1958
80.5,5,1958
70.4,6,1958
74.8,7,1958
75.9,8,1958
86.3,9,1958
98.7,10,1958
100.9,11,1958
113.8,12,1958
89.8,1,1959
84.4,2,1959
87.2,3,1959
85.6,4,1959
72,5,1959
69.2,6,1959
77.5,7,1959
78.1,8,1959
94.3,9,1959
97.7,10,1959
100.2,11,1959
116.4,12,1959
97.1,1,1960
93,2,1960
96,3,1960
80.5,4,1960
76.1,5,1960
69.9,6,1960
73.6,7,1960
92.6,8,1960
94.2,9,1960
93.5,10,1960
108.5,11,1960
109.4,12,1960
105.1,1,1961
92.5,2,1961
97.1,3,1961
81.4,4,1961
79.1,5,1961
72.1,6,1961
78.7,7,1961
87.1,8,1961
91.4,9,1961
109.9,10,1961
116.3,11,1961
113,12,1961
100,1,1962
84.8,2,1962
94.3,3,1962
87.1,4,1962
90.3,5,1962
72.4,6,1962
84.9,7,1962
92.7,8,1962
92.2,9,1962
114.9,10,1962
112.5,11,1962
118.3,12,1962
106,1,1963
91.2,2,1963
96.6,3,1963
96.3,4,1963
88.2,5,1963
70.2,6,1963
86.5,7,1963
88.2,8,1963
102.8,9,1963
119.1,10,1963
119.2,11,1963
125.1,12,1963
106.1,1,1964
102.1,2,1964
105.2,3,1964
101,4,1964
84.3,5,1964
87.5,6,1964
92.7,7,1964
94.4,8,1964
113,9,1964
113.9,10,1964
122.9,11,1964
132.7,12,1964
106.9,1,1965
96.6,2,1965
127.3,3,1965
98.2,4,1965
100.2,5,1965
89.4,6,1965
95.3,7,1965
104.2,8,1965
106.4,9,1965
116.2,10,1965
135.9,11,1965
134,12,1965
104.6,1,1966
107.1,2,1966
123.5,3,1966
98.8,4,1966
98.6,5,1966
90.6,6,1966
89.1,7,1966
105.2,8,1966
114,9,1966
122.1,10,1966
138,11,1966
142.2,12,1966
116.4,1,1967
112.6,2,1967
123.8,3,1967
103.6,4,1967
113.9,5,1967
98.6,6,1967
95,7,1967
116,8,1967
113.9,9,1967
127.5,10,1967
131.4,11,1967
145.9,12,1967
131.5,1,1968
131,2,1968
130.5,3,1968
118.9,4,1968
114.3,5,1968
85.7,6,1968
104.6,7,1968
105.1,8,1968
117.3,9,1968
142.5,10,1968
140,11,1968
159.8,12,1968
131.2,1,1969
125.4,2,1969
126.5,3,1969
119.4,4,1969
113.5,5,1969
98.7,6,1969
114.5,7,1969
113.8,8,1969
133.1,9,1969
143.4,10,1969
137.3,11,1969
165.2,12,1969
126.9,1,1970
124,2,1970
135.7,3,1970
130,4,1970
109.4,5,1970
117.8,6,1970
120.3,7,1970
121,8,1970
132.3,9,1970
142.9,10,1970
147.4,11,1970
175.9,12,1970
132.6,1,1971
123.7,2,1971
153.3,3,1971
134,4,1971
119.6,5,1971
116.2,6,1971
118.6,7,1971
130.7,8,1971
129.3,9,1971
144.4,10,1971
163.2,11,1971
179.4,12,1971
128.1,1,1972
138.4,2,1972
152.7,3,1972
120,4,1972
140.5,5,1972
116.2,6,1972
121.4,7,1972
127.8,8,1972
143.6,9,1972
157.6,10,1972
166.2,11,1972
182.3,12,1972
153.1,1,1973
147.6,2,1973
157.7,3,1973
137.2,4,1973
151.5,5,1973
98.7,6,1973
145.8,7,1973
151.7,8,1973
129.4,9,1973
174.1,10,1973
197,11,1973
193.9,12,1973
164.1,1,1974
142.8,2,1974
157.9,3,1974
159.2,4,1974
162.2,5,1974
123.1,6,1974
130,7,1974
150.1,8,1974
169.4,9,1974
179.7,10,1974
182.1,11,1974
194.3,12,1974
161.4,1,1975
169.4,2,1975
168.8,3,1975
158.1,4,1975
158.5,5,1975
135.3,6,1975
149.3,7,1975
143.4,8,1975
142.2,9,1975
188.4,10,1975
166.2,11,1975
199.2,12,1975
182.7,1,1976
145.2,2,1976
182.1,3,1976
158.7,4,1976
141.6,5,1976
132.6,6,1976
139.6,7,1976
147,8,1976
166.6,9,1976
157,10,1976
180.4,11,1976
210.2,12,1976
159.8,1,1977
157.8,2,1977
168.2,3,1977
158.4,4,1977
152,5,1977
142.2,6,1977
137.2,7,1977
152.6,8,1977
166.8,9,1977
165.6,10,1977
198.6,11,1977
201.5,12,1977
170.7,1,1978
164.4,2,1978
179.7,3,1978
157,4,1978
168,5,1978
139.3,6,1978
138.6,7,1978
153.4,8,1978
138.9,9,1978
172.1,10,1978
198.4,11,1978
217.8,12,1978
173.7,1,1979
153.8,2,1979
175.6,3,1979
147.1,4,1979
160.3,5,1979
135.2,6,1979
148.8,7,1979
151,8,1979
148.2,9,1979
182.2,10,1979
189.2,11,1979
183.1,12,1979
170,1,1980
158.4,2,1980
176.1,3,1980
156.2,4,1980
153.2,5,1980
117.9,6,1980
149.8,7,1980
156.6,8,1980
166.7,9,1980
156.8,10,1980
158.6,11,1980
210.8,12,1980
203.6,1,1981
175.2,2,1981
168.7,3,1981
155.9,4,1981
147.3,5,1981
137,6,1981
141.1,7,1981
167.4,8,1981
160.2,9,1981
191.9,10,1981
174.4,11,1981
208.2,12,1981
159.4,1,1982
161.1,2,1982
172.1,3,1982
158.4,4,1982
114.6,5,1982
159.6,6,1982
159.7,7,1982
159.4,8,1982
160.7,9,1982
