ECD,Area,Mean,StdDev,Mode,Min,Max,Perim.,Width,Height,Major,Minor,Circ.,Feret,IntDen,Class
0.4534624421875849,0.1615,0.1321,0.1106,0.016,0.012,0.412,2.6795,0.73,0.7406,0.7403,0.2778,0.2827,0.8928,0.0213,Cyclopoida
0.33832563466531934,0.0899,0.1986,0.1862,0.016,0.012,0.692,1.1925,0.3068,0.4126,0.3783,0.3025,0.7943,0.4384,0.0179,other
0.5751414032411467,0.2598,0.1354,0.122,0.02,0.012,0.524,4.2505,1.4177,0.7089,1.0761,0.3074,0.1807,1.4209,0.0352,Cyclopoida
0.4600134914706133,0.1662,0.207,0.1646,0.02,0.016,0.532,2.9326,0.6983,0.73,0.6363,0.3326,0.2429,0.7665,0.0344,Gymnoplea
0.6925527680269106,0.3767,0.2527,0.2016,0.016,0.012,0.62,6.3253,1.4389,1.5553,0.9147,0.5243,0.1183,1.6941,0.0952,Gymnoplea
1.7223221218239004,2.3298,0.4044,0.3139,0.016,0.012,0.928,9.1497,1.8727,2.7508,2.9077,1.0202,0.3497,3.0285,0.9423,Gymnoplea
1.0550194358434726,0.8742,0.328,0.3129,0.016,0.012,1.02,6.6123,1.7034,1.0263,1.5794,0.7048,0.2513,1.8056,0.2867,Gymnoplea
0.3256698544176895,0.0833,0.1427,0.1363,0.036,0.016,0.592,1.0815,0.3174,0.3491,0.344,0.3082,0.8947,0.3517,0.0119,other
0.2505408341078227,0.0493,0.2534,0.2269,0.024,0.016,0.808,0.8236,0.2539,0.2539,0.2632,0.2383,0.9125,0.2795,0.0125,other
0.9867351619654481,0.7647,0.0981,0.0881,0.076,0.012,0.58,8.6645,1.3648,3.6078,2.2008,0.4424,0.128,3.694,0.075,other
0.6604633737205015,0.3426,0.3471,0.2833,0.024,0.012,0.832,3.739,0.7512,0.857,0.9086,0.4802,0.308,0.9744,0.1189,Gymnoplea
0.2372281346663886,0.0442,0.0848,0.0747,0.044,0.012,0.372,0.8236,0.2857,0.2222,0.2989,0.1884,0.8192,0.3124,0.0037,other
0.48782012146999626,0.1869,0.2121,0.2176,0.016,0.012,0.784,3.0444,0.5396,0.7089,0.6822,0.3489,0.2535,0.8361,0.0397,Cyclopoida
0.7404437507082905,0.4306,0.1458,0.1267,0.016,0.012,0.48,7.5739,1.9679,1.3331,0.8121,0.6752,0.0943,1.9689,0.0628,Gymnoplea
1.0496352595351093,0.8653,0.2985,0.2892,0.02,0.012,0.924,8.2546,1.714,1.259,1.4058,0.7837,0.1596,1.7935,0.2583,Gymnoplea
1.108801201476745,0.9656,0.3074,0.2556,0.02,0.012,0.896,8.5203,1.6611,1.9996,1.4287,0.8605,0.1671,2.0461,0.2968,Gymnoplea
0.3744111027671875,0.1101,0.2179,0.1554,0.016,0.012,0.544,1.5449,0.402,0.5502,0.5827,0.2407,0.5799,0.6427,0.024,Poecilostomatoida
0.5725898905580716,0.2575,0.1558,0.148,0.016,0.012,0.524,4.5865,1.1003,1.1321,0.7876,0.4162,0.1538,1.2354,0.0401,Cyclopoida
0.5232078956954491,0.215,0.2139,0.1387,0.02,0.008,0.504,2.3711,0.5607,0.7723,0.7935,0.345,0.4806,0.8451,0.046,Poecilostomatoida
0.44165631236678476,0.1532,0.2272,0.1712,0.016,0.016,0.54,1.9263,0.4867,0.6454,0.6931,0.2815,0.519,0.7718,0.0348,Cyclopoida
0.42848703871973826,0.1442,0.2494,0.2101,0.016,0.012,0.764,2.0784,0.6136,0.6136,0.7153,0.2566,0.4194,0.7943,0.0359,Cyclopoida
0.6529991757512454,0.3349,0.2988,0.2702,0.016,0.012,0.948,2.6141,0.5819,0.9522,0.9588,0.4447,0.6159,1.008,0.1001,Gymnoplea
0.33358827348972153,0.0874,0.2527,0.2685,0.02,0.012,0.904,1.226,0.328,0.3491,0.3553,0.3133,0.7308,0.3874,0.0221,other
1.3258815329492448,1.3807,0.4985,0.3538,1.02,0.012,1.02,6.1823,1.1744,2.2853,1.9015,0.9245,0.454,2.3031,0.6883,Gymnoplea
1.6863889963826435,2.2336,0.3954,0.2479,0.02,0.012,0.844,9.5124,1.1215,3.0365,2.919,0.9743,0.3102,3.0431,0.8832,Gymnoplea
0.4624978308224887,0.168,0.2894,0.2101,0.02,0.016,0.696,2.158,0.4232,0.8358,0.7834,0.2731,0.4534,0.8471,0.0486,Poecilostomatoida
0.9376416723032471,0.6905,0.3202,0.2981,0.02,0.012,0.896,10.426,1.7245,2.4546,1.0537,0.8344,0.0798,2.7302,0.2211,Gymnoplea
0.46414666967370294,0.1692,0.1639,0.1295,0.024,0.012,0.428,3.1591,0.656,0.9099,0.6991,0.3082,0.2131,0.9318,0.0277,Cyclopoida
0.42340539427209817,0.1408,0.2154,0.1592,0.016,0.012,0.544,1.7927,0.6454,0.4232,0.659,0.2721,0.5506,0.7296,0.0303,Poecilostomatoida
0.4275946662716566,0.1436,0.2251,0.1663,0.016,0.016,0.584,1.8803,0.6877,0.4867,0.73,0.2505,0.5104,0.766,0.0323,Poecilostomatoida
0.9235492250108197,0.6699,0.3217,0.2706,0.02,0.012,1.02,5.3461,1.4918,0.7935,1.3891,0.614,0.2946,1.4955,0.2155,Gymnoplea
1.1425082849863666,1.0252,0.1234,0.1183,0.024,0.012,0.496,16.9536,4.9938,3.1317,1.619,0.8063,0.0448,5.8889,0.1265,Gymnoplea
0.28922627489407005,0.0657,0.0909,0.0797,0.016,0.012,0.404,1.2746,0.3068,0.4232,0.4671,0.1791,0.5083,0.4598,0.006,other
0.6530966601401966,0.335,0.1926,0.1293,0.016,0.012,0.48,4.5079,0.7406,1.1532,0.9972,0.4277,0.2072,1.2049,0.0645,Gymnoplea
1.0112065458534223,0.8031,0.4995,0.4015,1.02,0.012,1.02,6.1197,1.185,1.4389,1.5291,0.6687,0.2695,1.6846,0.4012,Gymnoplea
0.49404455338130254,0.1917,0.2063,0.179,0.016,0.012,0.576,2.4181,0.5502,0.6983,0.6911,0.3533,0.4121,0.8451,0.0396,Cyclopoida
0.6922769421541608,0.3764,0.1393,0.112,0.02,0.012,0.488,3.9748,1.2484,0.7194,1.0755,0.4456,0.2994,1.3819,0.0524,Poecilostomatoida
0.4749926813405348,0.1772,0.1878,0.164,0.024,0.012,0.632,3.0067,0.7089,0.7723,0.7045,0.3203,0.2463,0.9138,0.0333,Cyclopoida
0.980132254597654,0.7545,0.4409,0.3691,0.02,0.012,1.02,7.9145,2.0525,1.5341,1.2428,0.7729,0.1514,2.0579,0.3326,Gymnoplea
0.4362903986313552,0.1495,0.2593,0.211,0.016,0.012,0.672,1.8643,0.5396,0.6242,0.6808,0.2797,0.5407,0.7662,0.0388,Poecilostomatoida
