ECD,Area,Mean,StdDev,Mode,Min,Max,Perim.,Width,Height,Major,Minor,Circ.,Feret,IntDen,Class
1.036144577,0.8432,0.2089,0.1644,0.008,0.004,0.656,10.5017,1.915,1.6505,1.1358,0.9452,0.0961,2.0109,0.1761,Calanoida
0.519422236,0.2119,0.1712,0.1512,0.008,0.004,0.488,3.6323,0.5078,1.0051,0.9089,0.2968,0.2018,1.0168,0.0363,Oncaeidae
0.507394359,0.2022,0.188,0.1388,0.016,0.004,0.548,2.8364,0.857,0.7512,0.8486,0.3033,0.3158,0.9378,0.038,Oncaeidae
0.503868996,0.1994,0.1829,0.1327,0.016,0.004,0.528,2.7197,0.8252,0.7935,0.852,0.2979,0.3387,0.969,0.0365,Oncaeidae
0.704039882,0.3893,0.2142,0.1905,0.012,0.004,0.628,6.106,1.46,1.0686,0.7274,0.6815,0.1312,1.6324,0.0834,Calanoida
0.740529724,0.4307,0.279,0.2086,0.02,0.004,0.804,5.378,1.2802,0.73,1.0989,0.499,0.1871,1.2823,0.1202,Calanoida
0.935806689,0.6878,0.264,0.1898,0.012,0.004,0.64,7.2312,1.46,1.2379,1.5499,0.5651,0.1653,1.7638,0.1816,Calanoida
1.902113953,2.8416,0.2743,0.1355,0.224,0.008,0.816,14.591,4.8351,5.0255,7.2188,0.5012,0.1677,6.8188,0.7796,Chaetognatha
1.793697022,2.5269,0.2615,0.1426,0.236,0.004,0.784,15.106,6.3268,1.5976,6.7653,0.4756,0.1392,6.4255,0.6607,Chaetognatha
0.776042721,0.473,0.3866,0.306,0.02,0.004,1.016,4.9877,1.6082,1.0157,1.3839,0.4352,0.239,1.6502,0.1829,Oncaeidae
0.578232397,0.2626,0.2287,0.1838,0.032,0.008,0.732,3.5708,1.1215,0.6242,0.9601,0.3482,0.2588,1.1247,0.0601,Oncaeidae
1.850748233,2.6902,0.2182,0.1136,0.296,0.004,0.744,16.5814,6.7395,1.6082,6.9881,0.4901,0.123,6.8304,0.5869,Chaetognatha
0.784690158,0.4836,0.3193,0.2358,0.008,0.004,0.712,6.9379,1.1744,1.2061,1.0994,0.56,0.1262,1.4227,0.1544,Calanoida
0.975444469,0.7473,0.2633,0.2169,0.008,0.004,0.664,7.2068,1.5658,1.386,1.7489,0.544,0.1808,1.9425,0.1968,Calanoida
1.282436556,1.2917,0.2303,0.1278,0.336,0.012,0.648,8.1598,1.8621,2.0525,1.6981,0.9686,0.2438,2.2853,0.2976,Chaetognatha
2.123092706,3.5402,0.197,0.1149,0.144,0.004,0.808,18.7048,2.5709,7.9138,4.8018,0.9387,0.1272,8.0307,0.6973,Chaetognatha
1.404050137,1.5483,0.1218,0.0652,0.148,0.004,0.424,12.9987,3.0365,4.4859,4.6361,0.4252,0.1152,5.3182,0.1887,Chaetognatha
1.111038136,0.9695,0.2671,0.2442,0.012,0.004,0.776,8.0693,1.6293,1.8198,1.251,0.9867,0.1871,1.8286,0.259,Calanoida
